run_id,date,time,paradigm,dataset,extractor,mode,model_variant,label,n_folds,n_samples,subject_bal_acc,subject_acc,subject_f1,subject_kappa,lr,weight_decay,epochs,batch_size,aug_overlap,has_features,status,notes
20260404_1633_ft_subjectdass_aug75_cbramod,2026-04-04,16:33,subject-level,stress,cbramod,ft,,subject-dass,5,82,0.488,0.4512,0.3647,-0.0222,1e-05,0.05,50,32,0.75,False,complete,
20260404_1633_ft_subjectdass_aug75_labram,2026-04-04,16:33,subject-level,stress,labram,ft,,subject-dass,5,82,0.5369,0.5366,0.5377,0.0732,1e-05,0.05,50,32,0.75,False,complete,
20260404_1633_ft_subjectdass_aug75_reve,2026-04-04,16:33,subject-level,stress,reve,ft,,subject-dass,5,82,0.5529,0.5488,0.5493,0.104,1e-05,0.05,50,32,0.75,False,complete,
20260404_1714_trial_ft_subjectdass_aug75_labram,2026-04-04,17:14,trial-level,stress,labram,ft,,subject-dass,5,82,0.8619,0.8537,0.8537,0.7101,1e-05,0.05,50,32,0.75,False,complete,
20260404_2108_trial_ft_subjectdass_aug75_cbramod,2026-04-04,21:08,trial-level,stress,cbramod,ft,,subject-dass,5,82,0.7117,0.7073,0.7078,0.4174,1e-05,0.05,50,32,0.75,False,complete,
20260405_0114_trial_ft_subjectdass_aug75_reve,2026-04-05,01:14,trial-level,stress,reve,ft,,subject-dass,5,82,0.7697,0.7683,0.7688,0.5355,1e-05,0.05,50,4,0.75,False,complete,
20260405_0123_ft_subjectdass_aug75_labram,2026-04-05,01:23,subject-level,stress,labram,ft,,subject-dass,5,82,0.4393,0.4268,0.4178,-0.1171,1e-05,0.05,50,32,0.75,False,complete,
20260405_0450_ft_subjectdass_aug75_labram,2026-04-05,04:50,subject-level,stress,labram,ft,,subject-dass,5,82,0.564,0.561,0.5618,0.1261,1e-05,0.05,50,32,0.75,False,complete,
20260405_1333_ft_subjectdass_aug75_labram,2026-04-05,13:33,subject-level,stress,labram,ft,,subject-dass,5,82,0.5108,0.5,0.4951,0.021,1e-05,0.05,50,32,0.75,False,complete,
20260405_1426_ft_subjectdass_aug75_labram,2026-04-05,14:26,subject-level,stress,labram,ft,,subject-dass,5,70,0.6559,0.6571,0.6666,0.2863,1e-05,0.05,50,32,0.75,False,complete,
20260405_1427_ft_subjectdass_aug75_labram,2026-04-05,14:27,subject-level,stress,labram,ft,,subject-dass,5,70,0.537,0.5571,0.5686,0.0687,1e-05,0.05,50,32,0.75,False,complete,
20260405_1713_classical_subject-dass,2026-04-05,17:13,classical,stress,,classical,LogReg_L2,subject-dass,0,70,0.6235,0.6286,0.6388,0.2268,,,,,,False,complete,
20260405_1713_classical_subject-dass,2026-04-05,17:13,classical,stress,,classical,LogReg_L1,subject-dass,0,70,0.5153,0.5429,0.5536,0.0286,,,,,,False,complete,
20260405_1713_classical_subject-dass,2026-04-05,17:13,classical,stress,,classical,SVM_RBF,subject-dass,0,70,0.58,0.6,0.6094,0.15,,,,,,False,complete,
20260405_1713_classical_subject-dass,2026-04-05,17:13,classical,stress,,classical,RF,subject-dass,0,70,0.666,0.6857,0.6913,0.318,,,,,,False,complete,
20260405_1713_classical_subject-dass,2026-04-05,17:13,classical,stress,,classical,XGBoost,subject-dass,0,70,0.6115,0.6571,0.6571,0.2229,,,,,,False,complete,
20260405_1714_classical_subject-dass,2026-04-05,17:14,classical,stress,,classical,LogReg_L2,subject-dass,0,82,0.4742,0.4756,0.4768,-0.0513,,,,,,False,complete,
20260405_1714_classical_subject-dass,2026-04-05,17:14,classical,stress,,classical,LogReg_L1,subject-dass,0,82,0.479,0.4756,0.4762,-0.0413,,,,,,False,complete,
20260405_1714_classical_subject-dass,2026-04-05,17:14,classical,stress,,classical,SVM_RBF,subject-dass,0,82,0.5162,0.5244,0.522,0.0327,,,,,,False,complete,
20260405_1714_classical_subject-dass,2026-04-05,17:14,classical,stress,,classical,RF,subject-dass,0,82,0.4225,0.4268,0.4274,-0.1546,,,,,,False,complete,
20260405_1714_classical_subject-dass,2026-04-05,17:14,classical,stress,,classical,XGBoost,subject-dass,0,82,0.467,0.4756,0.473,-0.0665,,,,,,False,complete,
20260406_0419_ft_subjectdass_aug75_labram_feat,2026-04-06,04:19,subject-level,stress,labram,ft,,subject-dass,5,70,0.6559,0.6571,0.6666,0.2863,1e-05,0.05,50,32,0.75,True,complete,
20260406_0935_ft_dass_aug75_labram_adftd_feat,2026-04-06,09:35,cross-dataset,adftd,labram,ft,,dass,5,195,0.7521,0.7538,0.7541,0.503,1e-05,0.05,50,32,0.75,True,complete,
20260407_1533_ft_dass_aug75_labram_tdbrain_feat,2026-04-07,15:33,cross-dataset,tdbrain,labram,ft,,dass,5,734,0.6812,0.8556,0.8562,0.3592,1e-05,0.05,30,32,0.75,True,complete,
