dataset,fm,arm,design,lp_ba_mean,ft_ba_mean,delta_ba,frozen_label_frac,frozen_subject_frac,frozen_residual_frac,subject_to_label_ratio,rsa_subject,rsa_label,subject_id_ba_lr,subject_id_ba_mlp,subject_id_ba,n_subjects,permanova_pseudo_F,permanova_R2,hhsa_median_g,hhsa_wsci
stress,labram,within,nested,0.6049107142857143,0.5238333333333334,-0.08107738095238093,4.5278,48.7234,46.7488,10.760943504571756,0.2836801674051029,-0.003530219582060241,0.44509803921568625,0.4862745098039216,0.44509803921568625,17,2.950322268911337,0.05273110411645791,1.0788376331329346,
stress,cbramod,within,nested,0.4520089285714286,0.5476333333333333,0.0956244047619047,2.545,45.8157,51.6393,18.002239685658154,0.20840425783446856,-0.050748650671751376,0.0,0.2549019607843137,0.0,17,1.7737689265743475,0.032383547112708834,1.0788376331329346,
stress,reve,within,nested,0.49441964285714285,0.5773666666666667,0.08294702380952385,3.0951,39.3165,57.5884,12.702820587380051,0.1849721586265462,-0.013898891829189386,0.37254901960784315,0.41862745098039217,0.37254901960784315,17,1.9611990681640772,0.035683338453583506,1.0788376331329346,
eegmat,labram,within,crossed,0.6712962962962963,0.7314666666666667,0.06017037037037043,5.3485,71.1779,23.473600000000005,13.30801159203515,0.1193890902928478,0.073054636117125,0.4583333333333333,0.3888888888888889,0.4583333333333333,36,3.2663483027196754,0.04458183570476144,1.40240478515625,
eegmat,cbramod,within,crossed,0.7314814814814815,0.6204,-0.11108148148148156,3.7221,79.6175,16.660399999999996,21.390478493323663,0.14553202982480595,0.03580824713600784,0.125,0.20833333333333334,0.125,36,2.7928767764363385,0.03836744610346841,1.40240478515625,
eegmat,reve,within,crossed,0.6712962962962963,0.7268333333333333,0.05553703703703705,2.4596,77.3263,20.214100000000002,31.438567246706782,0.1169547821539856,0.013816131132919882,0.18055555555555555,0.1388888888888889,0.18055555555555555,36,1.7409465165156277,0.024267124996947744,1.40240478515625,
sleepdep,labram,within,crossed,0.4995,0.5324,0.032899999999999985,0.7523972331356737,63.627246990646945,35.62035577621738,84.56603000183223,0.053514282246743254,-0.005136372386330774,0.25,0.2222222222222222,0.25,36,0.708448145323312,0.01001928572760183,1.3163365125656128,
sleepdep,cbramod,within,crossed,0.5570333333333334,0.5555666666666667,-0.0014666666666667272,1.6849635633025768,67.60610118575944,30.708935250937973,40.12318287361036,0.062234594951207096,-0.005750446227273479,0.09722222222222222,0.05555555555555555,0.09722222222222222,36,0.8439751984653903,0.01191315416873547,1.3163365125656128,
sleepdep,reve,within,crossed,0.5438666666666666,0.5417,-0.00216666666666665,5.74025866398667,45.89282021055014,48.366921125463186,7.994904567362666,0.0839588827412749,0.017669205855104418,0.2361111111111111,0.18055555555555555,0.2361111111111111,36,1.685410983663822,0.02351121323762663,1.3163365125656128,
adftd,labram,between,nested,0.695242656449553,0.7086,0.013357343550447043,2.5958,66.7847,30.619500000000002,25.727983665921872,0.12572589309668655,0.03561729594615194,0.7128205128205127,0.6717948717948717,0.7128205128205127,65,5.444824668999148,0.027437473756652387,,
adftd,cbramod,between,nested,0.5582162622392508,0.5372,-0.021016262239250794,0.67,61.5574,37.7726,91.87671641791044,0.10468201720767421,0.015248142199548195,0.158974358974359,0.24615384615384617,0.158974358974359,65,1.6150374038208726,0.008298625971382234,,
adftd,reve,between,nested,0.69247552149851,0.6577333333333333,-0.03474218816517671,0.8238,43.8858,55.29039999999999,53.27239621267299,0.04535630599362842,0.0019014476390557845,0.1076923076923077,0.23076923076923078,0.1076923076923077,65,2.0622917962183176,0.010572478038824619,,
tdbrain,labram,between,nested,0.6793772163120567,0.6645666666666666,-0.014810549645390081,2.413,54.2504,43.336600000000004,22.48255283878989,0.03978321867904175,0.084341381352334,0.22284122562674094,0.09401114206128133,0.22284122562674094,359,18.52594989130417,0.024683956489428796,,
tdbrain,cbramod,between,nested,0.5644281914893617,0.48793333333333333,-0.07649485815602841,1.8246,95.5509,2.6244999999999976,52.36813548174943,0.06157943733405975,0.02368853550924028,0.026462395543175487,0.3725626740947075,0.026462395543175487,359,13.63172384863708,0.018282113559058163,,
tdbrain,reve,between,nested,0.5442043439716312,0.48833333333333334,-0.05587101063829786,0.0039,60.6327,39.3634,15546.846153846154,0.04223889395642611,0.018259104248372997,0.005571030640668524,0.018105849582172703,0.005571030640668524,359,0.2628504580282303,0.000358956429189079,,
meditation,labram,between,nested,0.47303333333333336,0.5151333333333333,0.04209999999999997,5.385285916858138,85.56794845914769,9.046765623994176,15.88921178563336,0.21831387089410798,0.043482959616164794,0.14583333333333334,0.3958333333333333,0.14583333333333334,24,1.8557590157296289,0.046561878673474215,0.5520232319831848,
meditation,cbramod,between,nested,0.7104333333333334,0.6834666666666666,-0.026966666666666805,28.11786655203218,60.65344406112633,11.228689386841497,2.157114016772467,0.13654121977953362,0.19587831913002052,0.013888888888888888,0.020833333333333332,0.013888888888888888,24,11.263856137004815,0.22864341162574783,0.5520232319831848,
meditation,reve,between,nested,0.5378666666666667,0.43263333333333326,-0.10523333333333346,0.8085311316691048,97.09130235844133,2.100166509889549,120.08356704584678,0.14317038081409617,-0.016297568153675175,0.041666666666666664,0.020833333333333332,0.041666666666666664,24,0.34466047342259537,0.008988486771488979,0.5520232319831848,
