dataset,fm,subject_id_ba_lr,subject_id_ba_mlp,n_subjects,n_samples,cv,source,subject_id_ba
stress,labram,0.44509803921568625,0.4862745098039216,17,70,loo,computed,0.44509803921568625
stress,cbramod,0.0,0.2549019607843137,17,70,loo,computed,0.0
stress,reve,0.37254901960784315,0.41862745098039217,17,70,loo,computed,0.37254901960784315
eegmat,labram,0.4583333333333333,0.3888888888888889,36,72,skf2,computed,0.4583333333333333
eegmat,cbramod,0.125,0.20833333333333334,36,72,skf2,computed,0.125
eegmat,reve,0.18055555555555555,0.1388888888888889,36,72,skf2,computed,0.18055555555555555
sleepdep,labram,0.25,0.2222222222222222,36,72,skf2,computed,0.25
sleepdep,cbramod,0.09722222222222222,0.05555555555555555,36,72,skf2,computed,0.09722222222222222
sleepdep,reve,0.2361111111111111,0.18055555555555555,36,72,skf2,computed,0.2361111111111111
adftd,labram,0.7128205128205127,0.6717948717948717,65,195,skf3,computed,0.7128205128205127
adftd,cbramod,0.158974358974359,0.24615384615384617,65,195,skf3,computed,0.158974358974359
adftd,reve,0.1076923076923077,0.23076923076923078,65,195,skf3,computed,0.1076923076923077
tdbrain,labram,0.22284122562674094,0.09401114206128133,359,734,skf2,computed,0.22284122562674094
tdbrain,cbramod,0.026462395543175487,0.3725626740947075,359,734,skf2,computed,0.026462395543175487
tdbrain,reve,0.005571030640668524,0.018105849582172703,359,734,skf2,computed,0.005571030640668524
meditation,labram,0.14583333333333334,0.3958333333333333,24,40,loo,computed,0.14583333333333334
meditation,cbramod,0.013888888888888888,0.020833333333333332,24,40,loo,computed,0.013888888888888888
meditation,reve,0.041666666666666664,0.020833333333333332,24,40,loo,computed,0.041666666666666664
