dataset,fm,design,frozen_label_frac,frozen_subject_frac,frozen_residual_frac,subject_to_label_ratio,source
stress,labram,nested,4.5278,48.7234,46.7488,10.760943504571756,variance_analysis_all.json
stress,cbramod,nested,2.545,45.8157,51.6393,18.002239685658154,variance_analysis_all.json
stress,reve,nested,3.0951,39.3165,57.5884,12.702820587380051,variance_analysis_all.json
eegmat,labram,crossed,5.3485,71.1779,23.473600000000005,13.30801159203515,variance_analysis_all.json
eegmat,cbramod,crossed,3.7221,79.6175,16.660399999999996,21.390478493323663,variance_analysis_all.json
eegmat,reve,crossed,2.4596,77.3263,20.214100000000002,31.438567246706782,variance_analysis_all.json
sleepdep,labram,crossed,0.7523972331356737,63.627246990646945,35.62035577621738,84.56603000183223,computed_from_frozen
sleepdep,cbramod,crossed,1.6849635633025768,67.60610118575944,30.708935250937973,40.12318287361036,computed_from_frozen
sleepdep,reve,crossed,5.74025866398667,45.89282021055014,48.366921125463186,7.994904567362666,computed_from_frozen
adftd,labram,nested,2.5958,66.7847,30.619500000000002,25.727983665921872,variance_analysis_all.json
adftd,cbramod,nested,0.67,61.5574,37.7726,91.87671641791044,variance_analysis_all.json
adftd,reve,nested,0.8238,43.8858,55.29039999999999,53.27239621267299,variance_analysis_all.json
tdbrain,labram,nested,2.413,54.2504,43.336600000000004,22.48255283878989,variance_analysis_all.json
tdbrain,cbramod,nested,1.8246,95.5509,2.6244999999999976,52.36813548174943,variance_analysis_all.json
tdbrain,reve,nested,0.0039,60.6327,39.3634,15546.846153846154,variance_analysis_all.json
meditation,labram,nested,5.385285916858138,85.56794845914769,9.046765623994176,15.88921178563336,computed_from_frozen
meditation,cbramod,nested,28.11786655203218,60.65344406112633,11.228689386841497,2.157114016772467,computed_from_frozen
meditation,reve,nested,0.8085311316691048,97.09130235844133,2.100166509889549,120.08356704584678,computed_from_frozen
